=================================================

   n   decimal                  binary

  -- ----------- -------------------------------------

   1           2                                    10

   2           2                                    10

   3           6                                   110

   4          12                                  1100

   5          44                                101100

   6          44                                101100

   7          92                               1011100

   8         184                              10111000

   9        1208                           10010111000

  10        1256                           10011101000

  11        4792                         1001010111000

  12        4792                         1001010111000

  13        9912                        10011010111000

  14        9912                        10011010111000

  15       19832                       100110101111000

  16       39664                      1001101011110000

  17      563952                  10001001101011110000

  18      576464                  10001100101111010000

  19     4496112               10001001001101011110000

  20     4499184               10001001010011011110000

  21    17996528             1000100101001101011110000

  22    17997488             1000100101001111010110000

  23   143972080          1000100101001101011011110000

  24   143972080          1000100101001101011011110000

  25   145057520          1000101001010110011011110000

  26   145070832          1000101001011001101011110000

  27   294967024         10001100101001101011011110000

  28   294967024         10001100101001101011011110000

  29   589944560        100011001010011101011011110000

  30   589944560        100011001010011101011011110000

  31  1179889136       1000110010100111010110111110000

  32  2359778272      10001100101001110101101111100000

  33 71079255008 1000010001100101001110101101111100000

  34 72019201952 100001100010010101101110011111010000
